title,tag,artist,year,views,features,lyrics,id,language_cld3,language_ft,language
"Comet, Slow Down",pop,Marmalade Nunchuck,2021,78122,{},"[Verse 1]
You come around once every eighty years
You don't call, you don't write
You blaze across the whole of the sky
And you're gone before the night

[Chorus]
Comet, slow down, comet, slow down
You are always leaving, always leaving town
Comet, slow down, comet, be kind
I have aged and you have not and I do not mind",36,en,en,en
Mars Has a Landlord Too,rap,Lil Paperwork,2015,40318,{},"[Verse 1]
Two hundred million miles from the lease I fled
Signed a new one on a rock that's red
The deposit was a moon, the agent was a drone
And the drone says the dust is on me alone

[Chorus]
Mars has a landlord too
Mars has a fee
You can leave the whole planet, friend
But you cannot leave the fee",37,en,en,en
Gravity Is a Suggestion,rock,Tepid Thunder,2013,55702,{},"[Verse 1]
I read the terms and conditions of the sky
I found a clause on the ninetieth page
It said the falling is technically optional
If you are polite and of age

[Chorus]
Gravity is a suggestion
Gravity is a vibe
I have politely declined it
And I'm floating over Clyde",38,en,en,en
The Satellite Is Lonely,rb,Luna Debtson,2010,33940,{},"[Verse 1]
It photographs a car park every ninety minutes
It has done so since nineteen eighty-one
It knows every crack in the tarmac by name
It has never been thanked by anyone

[Chorus]
The satellite is lonely
The satellite is cold
The satellite has seen your rooftop
Grow beautifully old",39,en,en,en
"Alien Arrives, Asks for Terry",misc,The Reverend Peppers,1996,11208,{},"[Verse 1]
The ship came down on the village green
The door came open with a hiss of steam
A being stepped out, nine feet of light
And said ""is Terry in tonight?""

[Chorus]
Alien arrives, asks for Terry
Alien arrives, will not say why
Terry's at his sister's until Tuesday
And the alien has agreed to wait outside",40,en,en,en
Dave Won't Return the Ladder,country,The Rusty Gutters,2009,47821,{},"[Verse 1]
Spring of two thousand and four
He knocked upon my kitchen door
""Just for the weekend,"" Dave had said
Dave's children now are fully bred

[Chorus]
Dave won't return the ladder
Dave won't return the rake
Dave has built a life upon my ladder
Dave, for heaven's sake",41,en,en,en
I Married a Traffic Cone,country,Duane Fenceposte,2004,61033,{},"[Verse 1]
She stood on the roadworks, orange and proud
She never complained, she never got loud
I asked her father, a barrier of steel
He said nothing at all, which I took as a deal

[Chorus]
I married a traffic cone
We honeymooned on the A9
She's the only one who's ever stood there
Reliably, rain or shine",42,en,en,en
The Hedge Is Winning,rock,The Beige Alarmists,2019,29008,{},"[Verse 1]
I trimmed it Tuesday, it grew by Thursday
I trimmed it Friday, it grew by Friday
I stood there with the shears at midnight
And the hedge stood back and said ""hi""

[Chorus]
The hedge is winning, the hedge is tall
The hedge has taken the garden wall
The hedge is winning, the hedge is fed
The hedge will attend my funeral instead",43,en,en,en
Aggressively Normal,rock,Tepid Thunder,2013,38294,{},"[Verse 1]
My lawn is a rectangle, my car is a grey
I own two identical cardigans
I say ""not too bad"" when they ask about my day
And I mean it, that's the tragedy, I mean it

[Chorus]
Aggressively normal, aggressively fine
Aggressively holding the beige party line
Aggressively normal, aggressively me
The most unremarkable man in the sea",44,en,en,en
Roundabout of Broken Dreams,pop,Trish Vandelay,2020,84001,{},"[Verse 1]
I missed my exit, I'll go round again
I missed my exit, I'll go round again
I missed my exit, I'll go round again
The petrol's low but the loop is clean

[Chorus]
Roundabout, roundabout
I've been circling since half past two
Roundabout, roundabout
I have seen that garden centre eleven times, and so have you",45,en,en,en
The Bins Go Out on Which Day,misc,The Damp Cardigans,2012,20544,{},"[Verse 1]
Green on Monday, brown on the third
Blue when the council has said the word
Black is a mystery, black is a myth
Black went out once and it never came with

[Chorus]
The bins go out on which day, which day
Nobody living can say
The bins go out on which day, which day
The schedule is a work of decay",46,en,en,en
Neighbour Built a Second House Inside His House,rap,MC Deliverable,2016,57310,{},"[Verse 1]
Planning permission? He did not seek it
Structural survey? He would not speak it
There's a front door in his living room
And a smaller front door in the smaller room

[Chorus]
House in the house in the house, my guy
Recursive architecture, ask him why
He says it's for the guests, he says it's for the view
The view is of a house. Inside a house. Inside you.",47,en,en,en
Sold the Car to a Man Named Cliff,country,Bronze Medal Barry,2006,18120,{},"[Verse 1]
Cliff had cash and Cliff had charm
Cliff had a handshake like a farm
Cliff drove off and Cliff drove far
Cliff, it turns out, was three kids in a car

[Chorus]
Sold the car to a man named Cliff
Cliff was not a man
Cliff was an idea three children had
And Cliff had a plan",48,en,en,en
Barbecue Under a Cloud,rock,Grand Uncle Nebula,1998,24099,{},"[Verse 1]
The forecast said a nine percent chance
The forecast lied with a smiling glance
I lit the coals, I raised the tongs
And the sky performed its wettest songs

[Chorus]
Barbecue under a cloud
Barbecue in the rain
Twelve guests under one umbrella
Eating sausages of pain",49,en,en,en
"My Driveway, My Kingdom",pop,Wallpaper Sadness,2021,43880,{},"[Verse 1]
Eleven feet of honest tarmac
Bordered by a decorative stone
I did not choose this land, it chose me
And I rule it alone

[Chorus]
My driveway, my kingdom
My driveway, my throne
Park across it if you dare, stranger
And discover what I've grown",50,en,en,en
Ceiling Fan Romance,rb,Velveeta Moonbeam,2017,74203,{},"[Verse 1]
She turns and turns above my bed
She never once has turned her head
Three speeds of love, and I choose two
Because at three she's over you

[Chorus]
Ceiling fan romance
Slow and cool and high
She'll never come down to me
But she'll never say goodbye",51,en,en,en
My Toaster Is Judging Me,rock,The Beige Alarmists,2019,52781,{},"[Verse 1]
It knows how many slices, it knows the hour
It knows I said ""just one"" and then had four
It has a little dial and a little sigh
And a little way of looking at the floor

[Chorus]
My toaster is judging me
My toaster has a view
My toaster has forgiven bread
But it has not forgiven you",52,en,en,en
The Lamp and I Have History,pop,The Kleenex Regrets,2015,30117,{},"[Verse 1]
We met in a shop on a Saturday
It was forty percent off and lonely
I took it home and I plugged it in
And it lit me, only me, only

[Chorus]
The lamp and I have history
The lamp and I have lore
The lamp has seen my worst decade
And it lights me even more",53,en,en,en
Sock Drawer Apocalypse,misc,Grand Uncle Nebula,1998,13905,{},"[Verse 1]
It began with one grey stranger
No partner, no known kin
Then a second, then a legion
Then the drawer would not close in

[Chorus]
Sock drawer apocalypse
Sock drawer at war
There are ninety-one socks in there
And matching pairs: four",54,en,en,en
"I Love You, Kettle",country,Duane Fenceposte,2004,25340,{},"[Verse 1]
You scream when you're ready, which is honest
You stop when you're done, which is rare
You have never once pretended
That you wanted to be elsewhere

[Chorus]
I love you, kettle
I love you, spout
You are the only thing in this house
That says exactly what it's about",55,en,en,en
The Chair That Understood,rb,Soap Anderson,2018,41002,{},"[Verse 1]
It creaked in sympathy, not in age
It leaned back when I leaned back
It held me through a decade of afternoons
And it never once asked ""so what's the plan, Jack?""

[Chorus]
The chair that understood
The chair that never spoke
The chair that took my whole weight
When everything else broke",56,en,en,en
"Umbrella, You Coward",rock,Tepid Thunder,2013,36771,{},"[Verse 1]
One gust, one gust, that's all it took
You turned inside out like a badly written book
Eight little ribs and a plastic sleeve
And a promise you had no intent to keep

[Chorus]
Umbrella, you coward
Umbrella, you fraud
You had one job in all the world
And you gave it up to God",57,en,en,en
Ode to a Fridge Magnet from Wales,pop,Marmalade Nunchuck,2021,48119,{},"[Verse 1]
You cost two pounds in a coastal shop
You are shaped like a sheep in a hat
You have held up a takeaway menu since 2009
And there is nothing more heroic than that

[Chorus]
Ode to a fridge magnet from Wales
Ode to a very small sheep
You have outlasted three relationships
And you did it in your sleep",58,en,en,en
The Remote Is Under Something,misc,The Damp Cardigans,2012,22660,{},"[Verse 1]
It is not under the cushion, I have been there
It is not under the dog, I have asked
It is under something, that much is certain
And that something is masked

[Chorus]
The remote is under something
The remote is under there
The remote is under something
That is all we know. That is all we'll ever share.",59,en,en,en
I Have Named My Vacuum Gerald,rap,DJ Dustbin,2023,66802,{},"[Verse 1]
Gerald works the night shift, Gerald never sleeps
Gerald knows the corners where the cereal creeps
Gerald hit a cable and Gerald hit a shoe
Gerald hit my ankle and Gerald knew, Gerald knew

[Chorus]
I have named my vacuum Gerald
Gerald is the boss
Gerald runs the household
And I am Gerald's loss",60,en,en,en
"Wizard, But Only on Weekends",rock,Gandalf's Cousin Terry,2003,82011,{},"[Verse 1]
Monday through Friday I am in logistics
Saturday I turn a man into a newt
Sunday I turn him back with apologies
And a voucher and a fruit

[Chorus]
Wizard, but only on weekends
Wizard, but not on the clock
The staff stays in the cupboard
Beside the hoover and the sock",61,en,en,en
I Left My Skeleton in Cleveland,rap,MC Femur,2016,59380,{},"[Verse 1]
I was passing through, I was travelling light
I took it out to stretch it in the Ohio night
I set it on a bench, I bought a coffee cup
And when I came back my skeleton was up and gone

[Chorus]
I left my skeleton in Cleveland
I left my frame behind
I'm a very floppy person now
But I have peace of mind",62,en,en,en
The Dragon Has a Podcast,pop,Quackrid,2019,103228,{},"[Verse 1]
He used to burn the villages, he used to hoard the gold
Now he has a microphone and forty minutes told
He interviews a knight each week about their journey
And he never, ever, burns the attorney

[Chorus]
The dragon has a podcast
The dragon has a brand
The dragon has more listeners
Than warriors in the land",63,en,en,en
"Vampire, Unfortunately Vegetarian",misc,The Reverend Peppers,1996,21440,{},"[Verse 1]
Six hundred years of self-restraint
Six hundred years of beans
He haunts the produce aisle at midnight
Reading labels, chasing greens

[Chorus]
Vampire, unfortunately vegetarian
Vampire, unfortunately weak
He cannot lift his own coffin
And he's got a beetroot leak",64,en,en,en
My Sword Has a Union,rock,Gandalf's Cousin Terry,2003,44012,{},"[Verse 1]
I raised it high against the horde
It said ""not before nine, my lord""
I begged it once, I begged it twice
It filed a grievance, that was nice

[Chorus]
My sword has a union
My sword has a rep
My sword works a four-day week
And the horde has to accept",65,en,en,en
The Prophecy Was About Someone Else,country,Bronze Medal Barry,2006,28770,{},"[Verse 1]
Born under the comet, marked upon the hand
Raised in a barn, foretold across the land
Trained for twenty summers, sword and staff and rune
Turned out it was Deborah, and Deborah starts in June

[Chorus]
The prophecy was about someone else
The prophecy was not for me
I have a destiny-shaped hole
And a fairly good CV",66,en,en,en
Ghost Who Only Haunts the Shed,misc,Grand Uncle Nebula,1998,16033,{},"[Verse 1]
The mansion has nine bedrooms and a haunted-looking stair
The ghost has seen the mansion and the ghost does not care
The ghost prefers the shed, the ghost prefers the damp
The ghost has got a deckchair and a small unnerving lamp

[Chorus]
Ghost who only haunts the shed
Ghost with modest scope
Ghost who rattles one flowerpot
And gives the lawn some hope",67,en,en,en
Troll Under a Very Small Bridge,pop,Trish Vandelay,2020,51907,{},"[Verse 1]
It spans a puddle, it spans a hope
It's made of one plank and a bit of rope
The troll demands a riddle and a coin of gold
From ants. From ants. That's what he's told.

[Chorus]
Troll under a very small bridge
Troll with enormous pride
Nobody's crossed in forty years
Because you can simply step to the side",68,en,en,en
The Chosen One Called in Sick,rap,Lil Paperwork,2015,47201,{},"[Verse 1]
The armies are assembled, the banners are unfurled
The dark lord is monologuing at the edge of the world
And there's a note on the gate in a shaky little hand
Saying ""throat's a bit funny, please reschedule the land""

[Chorus]
The chosen one called in sick
The chosen one is out
Try the second chosen one
He's around here somewhere, about",69,en,en,en
"Enchanted Forest, Poor Signal",rock,The Beige Alarmists,2019,34118,{},"[Verse 1]
The trees are singing, the moss is wise
There are lanterns in the owls' eyes
I have wandered nine enchanted miles
Holding my phone up at the skies

[Chorus]
Enchanted forest, poor signal
Magic everywhere, no bars
I could talk to the ancient willow
But I cannot text the stars",70,en,en,en
It Rained on My Only Good Day,country,Duane Fenceposte,2004,39118,{},"[Verse 1]
I get one good day a year, that's the deal
One day where the knees don't ache and the feelings feel
I picked the fourteenth, I circled it in pen
And the sky opened up at ten

[Chorus]
It rained on my only good day
It rained on my one clear plan
I have three hundred and sixty-four dry ones left
And I don't want a single one, man",71,en,en,en
Fog Has Opinions About Me,rb,Soap Anderson,2018,28440,{},"[Verse 1]
It rolled in low across the field
It stopped precisely at my gate
It did not enter, it did not leave
It simply sat there, full of hate

[Chorus]
Fog has opinions about me
Fog has heard the news
Fog is standing in my garden
Being quietly amused",72,en,en,en
Snow Day (I Am Forty-Two),pop,Wallpaper Sadness,2021,96412,{},"[Verse 1]
The radio said the roads were closed
The radio said the schools were shut
I do not go to school, I go to a building
And the building said ""come in, but""

[Chorus]
Snow day, snow day, I am forty-two
Snow day, snow day, nothing to do
I built a snowman shaped like my supervisor
And I have not told anyone, except you",73,en,en,en
The Wind Took My Hat and My Confidence,rock,Tepid Thunder,2013,33009,{},"[Verse 1]
I was walking with purpose down the promenade
I had a hat and I had a plan
One gust removed the first one
And the second one just ran

[Chorus]
The wind took my hat and my confidence
The wind took my whole idea
I am bareheaded on a seafront
And the seagulls know I'm here",74,en,en,en
Heatwave in a Woollen Suit,misc,The Reverend Peppers,1996,17820,{},"[Verse 1]
I dressed for a funeral in February
The funeral moved to July
The suit does not breathe, the suit does not care
The suit and I will die

[Chorus]
Heatwave in a woollen suit
Heatwave in the pews
I am mourning a man I barely knew
And I am also mourning shoes",75,en,en,en
"Thunder, But Politely",pop,Marmalade Nunchuck,2021,44506,{},"[Verse 1]
It rumbled at a reasonable hour
It waited for the news to end
It flashed once, apologised
And rumbled round the bend

[Chorus]
Thunder, but politely
Thunder with a please
The most considerate storm in England
Making small apologetic seas",76,en,en,en
Four Seasons in One Bus Stop,rap,MC Deliverable,2016,52288,{},"[Verse 1]
Waited for the 46, sun was on my neck
Waited for the 46, hail came down the deck
Waited for the 46, leaves fell off the tree
Waited for the 46, and the 46 is free

[Chorus]
Four seasons in one bus stop
Four seasons, no bus
I have aged a whole year at this shelter
And nobody made a fuss",77,en,en,en
The Forecast Lied and I Believed It,rock,The Damp Cardigans,2012,26991,{},"[Verse 1]
Nine percent, it said, nine percent
I based my entire day on nine
I wore the shoes, I made the plans
I trusted a decimal sign

[Chorus]
The forecast lied and I believed it
The forecast lied to my face
I will believe it again tomorrow
Because I am a hopeful case",78,en,en,en
Drizzle: A Love Story,rb,Velveeta Moonbeam,2017,31170,{},"[Verse 1]
Not rain enough to justify a coat
Not dry enough to leave it home
Just a suspended wetness in the air
That follows you alone

[Chorus]
Drizzle, a love story
Drizzle, a slow affair
It never commits to falling
It just hangs there in your hair",79,en,en,en
Hurricane Named After My Aunt,country,Bronze Medal Barry,2006,23345,{},"[Verse 1]
They ran out of the ordinary names
They dipped into a stranger list
And the storm that took the coastline out
Was called after my aunt, who exists

[Chorus]
Hurricane named after my aunt
Hurricane named after Pam
Pam is thrilled, Pam is famous
Pam has never given a damn",80,en,en,en
My Roomba Filed a Complaint,rap,DJ Dustbin,2023,88109,{},"[Verse 1]
Clause one: the floor was unreasonable
Clause two: the cat was in the way
Clause three: I have been made to work
On a statutory holiday

[Chorus]
My Roomba filed a complaint
My Roomba knows its rights
My Roomba has a lawyer now
And the lawyer works nights",81,en,en,en
Please Stop Emailing My Horse,pop,Trish Vandelay,2020,99420,{},"[Verse 1]
I gave the horse an address as a joke
I gave the horse an inbox and a name
Now the horse gets more correspondence than I do
And the horse is winning the game

[Chorus]
Please stop emailing my horse
Please stop copying him in
He does not have opinions on the roadmap
He has hay, and a grin",82,en,en,en
The Fridge Is Online Now,rock,The Beige Alarmists,2019,47033,{},"[Verse 1]
It has an app, it has a screen
It knows what milk I've never seen
It sent me a notification at three
To say the butter was thinking of me

[Chorus]
The fridge is online now
The fridge has a feed
The fridge has followers, the fridge has views
And the fridge does not need me",83,en,en,en
Password Must Contain a Feeling,misc,The Damp Cardigans,2012,35911,{},"[Verse 1]
Eight characters, one capital
One number and one strange
One symbol from an ancient tongue
One memory you can't change

[Chorus]
Password must contain a feeling
Password must contain a scar
Password cannot be your old password
Or anything of who you are",84,en,en,en
The Smart Bulb Has Moods,rb,Soap Anderson,2018,42017,{},"[Verse 1]
I asked for warm, it gave me green
I asked for off, it gave me strobe
I unplugged it at the wall one night
And it lit up anyway, across the globe

[Chorus]
The smart bulb has moods
The smart bulb has range
The smart bulb is having a phase
And the phase is very strange",85,en,en,en
"Update Available (Not Now, Forever)",rock,Tepid Thunder,2013,61220,{},"[Verse 1]
Not now, it said, and I said not now
Not now again, and again not now
Four hundred nights of a small blue box
And a promise of a better how

[Chorus]
Update available, not now, forever
Update available, remind me in a year
I will die on version nine point one
And the update will still be here",86,en,en,en
My Watch Told Me to Breathe,pop,Wallpaper Sadness,2021,73840,{},"[Verse 1]
I was breathing. I had been breathing all along.
It buzzed and said ""let's take a moment""
I was driving. I was in a queue of traffic.
I have never felt more opponent

[Chorus]
My watch told me to breathe
My watch told me to stand
My watch has counted every step
Of a life it does not understand",87,en,en,en
